成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
381	drugs520	0	-1	False	21000	0.0	21000	0
382	drugs520	0	-1	True	34640	1159.62	34640	0
383	drugs520	0	-1	False	34090	0.0	34090	0
384	drugs520	0	-1	False	31030	0.0	31030	0
385	drugs520	0	-1	True	35810	1265.61	35810	0
386	drugs520	0	-1	False	21810	0.0	21810	0
387	drugs520	0	-1	False	39180	0.0	39180	0
388	drugs520	0	-1	False	23390	0.0	23390	0
389	drugs520	0	-1	True	46260	474.29	46260	0
390	drugs520	0	-1	True	46490	482.764	46490	0
391	drugs520	0	-1	False	34490	0.0	34490	0
392	drugs520	0	-1	True	46950	676.87	46950	0
393	drugs520	0	-1	True	28480	510.767	28480	0
394	drugs520	0	-1	True	27960	570.282	27960	0
395	drugs520	0	-1	True	29260	616.287	29260	0
396	drugs520	0	-1	True	30310	675.684	30310	0
397	drugs520	0	-1	True	30510	692.944	30510	0
398	drugs520	0	-1	False	31930	0.0	31930	0
399	drugs520	0	-1	False	28180	0.0	28180	0
400	drugs520	0	-1	False	49410	367.172	49410	0
401	drugs520	0	-1	True	51750	655.192	51750	0
402	drugs520	0	-1	False	11190	0.0	11190	0
403	drugs520	0	-1	False	18340	0.0	18340	0
404	drugs520	0	-1	False	20690	0.0	20690	0
405	drugs520	0	-1	False	21090	0.0	21090	0
406	drugs520	0	-1	False	21720	0.0	21720	0
407	drugs520	0	-1	False	10390	0.0	10390	0
408	drugs520	0	-1	False	15900	0.0	15900	0
409	drugs520	0	-1	True	46670	628.045	46670	0
410	drugs520	0	-1	False	16360	0.0	16360	0
411	黄旭东	0	-1	False	112720	0.0	112720	0
412	黄旭东	1605148	5	False	24990	0.0	24990	0
413	drugs520	0	-1	False	24730	0.0	24730	0
414	drugs520	0	-1	False	93150	0.0	93150	0
415	drugs520	0	-1	False	33580	0.0	33580	0
416	drugs520	0	-1	False	31680	0.0	31680	0
417	drugs520	0	-1	False	33570	0.0	33570	0
418	drugs520	754816	0	False	16150	0.0	16150	0
419	drugs520	1531739	0	True	28200	2833.85	1700	0.001
420	drugs520	1531739	0	False	28200	2672.78	28200	0
421	drugs520	657917	2	False	52430	0.0	52430	0
422	drugs520	0	-1	False	20650	0.0	20650	0
423	drugs520	0	-1	False	12940	0.0	12940	0
424	drugs520	0	-1	False	11140	0.0	11140	0
425	drugs520	0	-1	False	10810	0.0	10810	0
426	drugs520	0	-1	False	13040	0.0	13040	0
427	drugs520	0	-1	False	16130	0.0	16130	0
428	drugs520	0	-1	False	10860	0.0	10860	0
429	drugs520	0	-1	False	44250	260.595	44250	0
430	drugs520	0	-1	False	10130	0.0	10130	0
431	drugs520	0	-1	False	52380	1184.58	52380	0
432	drugs520	0	-1	False	10130	0.0	10130	0
433	drugs520	0	-1	False	43110	0.0	43110	0
434	drugs520	0	-1	True	52200	1226.33	52200	0
435	drugs520	0	-1	False	10460	0.0	10460	0
436	drugs520	0	-1	True	52760	1479.38	52760	0
437	drugs520	0	-1	False	66620	0.0	66620	0
438	drugs520	0	-1	False	10650	0.0	10650	0
439	drugs520	0	-1	False	18170	0.0	18170	0
440	drugs520	0	-1	False	78100	0.0	78100	0
441	drugs520	0	-1	False	81680	0.0	81680	0
442	drugs520	0	-1	False	92310	0.0	92310	0
443	我去要饭	0	-1	True	88790	0.597665	88790	0
444	drugs520	0	-1	True	350820	1605.35	350820	0
445	drugs520	0	-1	True	356360	2230.53	356360	0
446	drugs520	0	-1	False	26670	0.0	26670	0
