成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
1850	我去要饭	104229	3	True	6114846	203.39	6114846	203.38999938964844
1851	我去要饭	1432041	2	True	67666224	320.498	67666224	320.498046875
1852	我去要饭	1028733	2	False	112490	0.0	112490	0
1853	我去要饭	1028733	2	False	1850540	0.0	1850540	0
1854	我去要饭	129891	3	False	63862	0.0	63862	0
1855	我去要饭	129891	3	False	685302	0.0	685302	0
1856	我去要饭	0	-1	True	9905080	0.0	9905080	0
1857	我去要饭	1858669	2	True	1681950	84.9014	1681950	84.90140533447266
1858	我去要饭	1858669	2	False	949350	0.0	949350	0
1859	我去要饭	1816113	2	False	105440	0.0	105440	0
1860	我去要饭	1713939	2	False	3019060	0.0	3019060	0
1861	我去要饭	1713939	2	True	5561810	259.982	5561810	259.9818115234375
1862	我去要饭	1713939	2	False	1961490	0.0	1961490	0
1863	我去要饭	0	-1	False	226934	0.0	226934	0
1864	卡狗粉丝	0	-1	False	94170	0.0	94170	0
1865	我去要饭	0	-1	False	3016600	0.0	3016600	0
1866	卡狗粉丝	0	-1	False	2441182	0.0	2441182	0
1867	卡狗粉丝	0	-1	True	23952020	0.0	23952020	0
1868	我去要饭	0	-1	False	2547050	0.0	2547050	0
1869	我去要饭	1024480	2	False	70281	0.0	70281	0
1870	我去要饭	1024480	2	False	2513838	0.0	2513838	0
1871	我去要饭	0	-1	False	210240	0.0	210240	0
1872	我去要饭	0	-1	False	209440	0.0	209440	0
1873	我去要饭	0	-1	False	533820	0.0	533820	0
1874	卡狗粉丝	924337	2	False	6600970	0.0	6600970	0
1875	我去要饭	0	-1	False	125530	0.0	125530	0
1876	我去要饭	0	-1	False	1012420	0.0	1012420	0
1877	卡狗粉丝	1473299	2	False	265362	0.0	265362	0
1878	卡狗粉丝	1473299	2	False	308748	0.0	308748	0
1879	卡狗粉丝	1936782	2	False	52968	0.0	52968	0
1880	卡狗粉丝	1936782	2	False	44447	0.0	44447	0
1881	我去要饭	933875	2	False	229439	0.0	229439	0
1882	我去要饭	933875	2	False	854597	0.0	854597	0
1883	卡狗粉丝	0	-1	True	821335	0.0	821335	0
1884	我去要饭	1924570	5	False	2391894	0.0	2391894	0
1885	卡狗粉丝	0	-1	True	1605374	0.0	1605374	0
1886	我去要饭	0	-1	False	160467	0.0	160467	0
1887	卡狗粉丝	0	-1	False	118083	0.0	118083	0
1888	卡狗粉丝	0	-1	False	66832	0.0	66832	0
1889	卡狗粉丝	1742483	2	False	22424	0.0	22424	0
1890	卡狗粉丝	1742483	2	False	53077	0.0	53077	0
1891	卡狗粉丝	0	-1	False	512295	0.0	512295	0
1892	卡狗粉丝	0	-1	True	1819405	0.0	1819405	0
1893	我去要饭	1354319	5	False	1643932	0.0	1643932	0
1894	卡狗粉丝	0	-1	False	225566	0.0	225566	0
1895	我去要饭	1354319	5	False	650668	0.0	650668	0
1896	我去要饭	1354319	5	False	1135778	0.0	1135778	0
1897	卡狗粉丝	0	-1	False	5437489	0.0	5437489	0
1898	卡狗粉丝	0	-1	False	287811	0.0	287811	0
1899	卡狗粉丝	0	-1	False	41060	0.0	41060	0
1900	卡狗粉丝	0	-1	False	829591	0.0	829591	0
1901	我去要饭	1354319	5	False	3333964	0.0	3333964	0
1902	卡狗粉丝	0	-1	False	39477	0.0	39477	0
1903	卡狗粉丝	0	-1	False	72462	0.0	72462	0
1904	卡狗粉丝	0	-1	False	55802	0.0	55802	0
1905	卡狗粉丝	0	-1	False	1313867	0.0	1313867	0
1906	我去要饭	1354319	5	False	1873618	0.0	1873618	0
1907	卡狗粉丝	0	-1	False	35104	0.0	35104	0
1908	卡狗粉丝	0	-1	True	2045073	0.0	2045073	0
1909	我去要饭	0	-1	True	3513398	0.0	3513398	0
1910	我去要饭	0	-1	False	181951	0.0	181951	0
1911	我去要饭	0	-1	False	49986	0.0	49986	0
1912	卡狗粉丝	1659421	2	False	477723	0.0	477723	0
1913	我去要饭	0	-1	False	176867	0.0	176867	0
1914	卡狗粉丝	1659421	2	False	1564516	0.0	1564516	0
1915	我去要饭	0	-1	False	2874000	0.0	2874000	0
1916	卡狗粉丝	1659421	2	False	761915	0.0	761915	0
1917	卡狗粉丝	1659421	2	True	3651491	492.072	3651491	492.07244873046875
1918	卡狗粉丝	1843589	2	False	1022584	0.0	1022584	0
1919	卡狗粉丝	1619555	2	False	3028958	0.0	3028958	0
1920	卡狗粉丝	0	-1	False	205873	0.0	205873	0
1921	卡狗粉丝	1763013	2	False	3132414	0.0	3132414	0
1922	卡狗粉丝	0	-1	False	37200	0.0	37200	0
1923	卡狗粉丝	0	-1	False	248437	0.0	248437	0
1924	卡狗粉丝	0	-1	False	283160	0.0	283160	0
1925	卡狗粉丝	0	-1	True	3284107	0.0	3284107	0
1926	卡狗粉丝	0	-1	False	99655	0.0	99655	0
1927	我去要饭	1201636	2	False	632378	0.0	632378	0
