成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
2504	路过的差异粉丝	0	-1	False	67298	0.0	67298	0
2505	一起打饭	1412805	2	False	1836370	0.0	1836370	0
2506	路过的差异粉丝	0	-1	False	1157884	0.0	1157884	0
2507	路过的差异粉丝	0	-1	False	1157884	0.0	1157884	0
2508	路过的差异粉丝	0	-1	False	340656	0.0	340656	0
2509	一起打饭	1551848	2	False	393230	0.0	393230	0
2510	嗨	0	-1	False	644854	0.0	644854	0
2511	一起打饭	1596697	2	False	2667260	0.0	2667260	0
2512	路过的差异粉丝	0	-1	True	24841990	73.477	24841990	0
2513	嗨	1479802	2	True	5476630	16.1864	5476630	17.698837280273438
2514	路过的差异粉丝	0	-1	True	4914844	73.3264	4914844	0
2515	路过的差异粉丝	0	-1	True	4111496	94.0708	4111496	0
2516	一起打饭	1531739	0	False	754	0.001	754	0
2517	一起打饭	1531739	0	False	75504	0.0	75504	0
2518	路过的差异粉丝	0	-1	True	68	0.001	68	0
2519	路过的差异粉丝	107875	2	False	89730	0.0	89730	0
2520	路过的差异粉丝	992281	2	False	85412	0.0	85412	0
2521	路过的差异粉丝	992281	2	False	543612	0.0	543612	0
2522	路过的差异粉丝	0	-1	False	95750	0.0	95750	0
2523	一起打饭	0	-1	False	232196	0.0	232196	0
2524	嗨	0	-1	True	34	0.001	34	0
2525	嗨	0	-1	False	267910	0.0	267910	0
2526	嗨	0	-1	True	5	0.001	5	0
2527	嗨	995312	0	False	433820	0.0	433820	0
2528	嗨	0	-1	True	39	0.001	39	0
2529	一起打饭	0	-1	False	361960	0.0	361960	0
2530	嗨	0	-1	False	1347430	0.0	1347430	0
2531	嗨	0	-1	False	535614	0.0	535614	0
2532	嗨	2111531	2	False	1084880	0.0	1084880	0
2533	嗨	0	-1	True	4059340	25.8086	4059340	0
2534	嗨	0	-1	False	284090	0.0	284090	0
2535	嗨	966034	0	False	40610	0.0	40610	0
2536	嗨	966034	0	False	121195	0.0	121195	0
2537	嗨	0	-1	False	120451	0.0	120451	0
2538	嗨	0	-1	False	14530	0.0	14530	0
2539	嗨	0	-1	False	131163	0.0	131163	0
2540	嗨	0	-1	False	580289	0.0	580289	0
2541	嗨	0	-1	False	813552	0.0	813552	0
2542	嗨	0	-1	True	2529360	16.5132	2529360	0
2543	嗨	0	-1	False	1596140	0.0	1596140	0
2544	嗨	0	-1	True	1111742	38.0657	1111742	0
2545	嗨	0	-1	False	24	0.001	24	0
2546	嗨	2245770	2	False	62457	11.3468	62457	0
2547	3125698280	1558924	2	False	201383	0.0	201383	0
2548	嗨	2245770	2	False	58469	10.4324	58469	0
2549	嗨	2245776	2	False	99576	36.7334	99576	0
2550	嗨	2245776	2	False	91050	31.0242	91050	0
2551	嗨	2245770	2	True	205395	28.23	205395	28.554895401000977
2552	3125698280	0	-1	True	872663	30.0124	872663	0
2553	3125698280	1558924	2	True	959063	33.9298	959063	33.929794444730284
2554	mzlapq	0	-1	True	968158	10.3435	968158	0
2555	mzlapq	1153238	2	True	680828	10.9946	680828	10.994568738383276
2556	mzlapq	0	-1	True	759970	22.9163	759970	0
2557	路过的差异粉丝	0	-1	True	3747648	95.0869	3747648	0
2558	mzlapq	2102288	2	True	724310	12.587	724310	12.586982781907471
2559	路过的差异粉丝	0	-1	False	1213104	0.0	1213104	0
2560	mzlapq	0	-1	True	624889	8.41191	624889	0
2561	路过的差异粉丝	1053520	2	False	560170	0.0	560170	0
2562	路过的差异粉丝	0	-1	False	266304	0.0	266304	0
2563	mzlapq	0	-1	True	742385	27.1932	742385	0
2564	mzlapq	0	-1	False	190434	0.0	190434	0
2565	路过的差异粉丝	0	-1	False	3383832	0.0	3383832	0
2566	路过的差异粉丝	0	-1	False	736000	0.0	736000	0
2567	路过的差异粉丝	0	-1	False	2366984	0.0	2366984	0
2568	路过的差异粉丝	0	-1	True	1520690	61.5788	1520690	0
2569	路过的差异粉丝	0	-1	False	1884650	35.3992	1884650	0
2570	3125698280	0	-1	True	862750	42.3796	862750	0
2571	路过的差异粉丝	0	-1	False	336660	0.0	336660	0
2572	路过的差异粉丝	0	-1	True	5804176	81.9998	5804176	0
2573	3125698280	2146917	2	True	733161	48.0095	733161	48.00953501036001
2574	路过的差异粉丝	0	-1	False	49822	0.0	49822	0
2575	路过的差异粉丝	0	-1	False	40102	0.0	40102	0
2576	路过的差异粉丝	0	-1	True	893688	44.6082	893688	0
2577	路过的差异粉丝	0	-1	False	597722	0.0	597722	0
2578	路过的差异粉丝	0	-1	True	975510	1.17019	975510	0
2579	3125698280	1770560	2	True	676638	41.132	676638	41.13197040662064
